dba_name,postal_code,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,naics_description,address,Incoming_Visitor_home_census_blocks,POI_risk_final
CLAYTONS GALLEY,92101,60730062001,{},{},SNACK & NONALCOHOLIC BEVERAGE BARS,HARBOR ISLAND DR,{},0
CLEAN COLORFUL KITCHEN,92103,60730060003,"{""060730165042"":4}","{""060730053001"":4}",CATERERS,REYNARD WAY,{'06073016504': 4},0.301604193
CLEAN ENERGY,92154,60730100141,"{""060971512011"":6,""060730133131"":4,""390490025101"":4}",{},OIL & GAS OPERATIONS SUPPORT ACTIVITIES,PIPER RANCH RD,"{'06097151201': 6, '06073013313': 4, '39049002510': 4}",0.318283587
CLEANTEX CLEANING SERVICE,92154,60730100101,"{""060730100032"":4,""060730032073"":4}","{""060730083602"":4}",JANITORIAL SERVICES,BEYER WAY,"{'06073010003': 4, '06073003207': 4}",0.642523637
CLEAR VISION ADVERTISEMENT LLC,92108,60730093042,"{""060730080023"":4}","{""060730068023"":4}",ADVERTISING & RELATED SERVICES,MISSION CENTER CT,{'06073008002': 4},0.244889882
CLEMENS WARREN,92101,60730053001,"{""060730029022"":6,""060730058001"":4,""060730168101"":4,""060730053001"":4,""060730170102"":4,""060730052002"":4,""060371892012"":4}","{""060730053001"":4}",OFFICES OF LAWYERS,B ST,"{'06073002902': 6, '06073005800': 4, '06073016810': 4, '06073005300': 4, '06073017010': 4, '06073005200': 4, '06037189201': 4}",0.911694119
CLICS COLOR LAB,92117,60730091022,"{""060730170292"":4,""060730027021"":4,""060730170202"":4,""060730083401"":4,""060730085012"":4}","{""060730166053"":4,""060730091042"":4,""060730085123"":4}",BEAUTY SALONS,CLAIREMONT DR,"{'06073017029': 4, '06073002702': 4, '06073017020': 4, '06073008340': 4, '06073008501': 4}",0.667770183
CLIMATE ACTION CAMPAIGN,92103,60730006003,"{""060730087022"":4}",{},BUSINESS TAX EXEMPT - NON PROFIT,CLEVELAND AVE,{'06073008702': 4},0.185346705
CLINICAL SUPERVISOR,92101,60730058001,"{""060670094041"":4,""060730160002"":4,""060730060003"":4}","{""061130112061"":4}",ALL OTHER PERSONAL SERVICES,KETTNER BLVD,"{'06067009404': 4, '06073016000': 4, '06073006000': 4}",0.510598195
CLK 2 JUICE LP,92117,60730085025,"{""060730085025"":25,""060730085045"":22,""060730085024"":22,""060730085023"":20,""060730085011"":20,""060730085021"":18,""060730085031"":18,""060730085051"":18,""060730085032"":17,""060730085014"":17,""060730085013"":17,""060730085111"":16,""060730085033"":15,""060730085012"":13,""060730085062"":12,""060730091022"":11,""060730085052"":10,""060730085123"":10,""060730085043"":10,""060730091014"":10,""060730085102"":10,""060730091042"":9,""060730091012"":9,""060730095091"":9,""060730085094"":9,""060730083403"":9,""060730085041"":9,""060730085054"":9,""060730100142"":8,""060730085022"":8,""060730085042"":8,""060730092011"":8,""060730086001"":8,""060730085055"":8,""060730085034"":8,""060730083073"":7,""060730083063"":7,""060730083404"":7,""060730085061"":7,""060730088003"":7,""060730083441"":7,""060730088002"":7,""060730085044"":6,""060730091011"":6,""060730085121"":6,""060730091031"":6,""060730083062"":6,""060730090001"":6,""060730083072"":6,""060730085063"":6,""060730085076"":6,""060730118023"":6,""060730085073"":5,""060730083451"":5,""060730083431"":5,""060730021001"":5,""060730078003"":5,""060730133141"":5,""060730083332"":5,""040190040651"":5,""060730155021"":5,""060730214002"":5,""060730087022"":5,""060730170153"":4,""060730083131"":4,""060730095062"":4,""261550316002"":4,""060730083541"":4,""060730083291"":4,""040130609021"":4,""060730170301"":4,""060730054004"":4,""060730139072"":4,""060730040002"":4,""060730095112"":4,""060730083132"":4,""060730087012"":4,""060730032085"":4,""040210003131"":4,""060730029021"":4,""060250118011"":4,""060133211031"":4,""060730083453"":4,""060730083391"":4,""060730191062"":4,""060730213032"":4,""060730079032"":4,""060730077023"":4,""060730191071"":4,""060730156013"":4,""060730029043"":4,""060730091034"":4,""060374321011"":4,""060730166171"":4,""060730095022"":4,""060730091032"":4,""060730008004"":4,""060730080022"":4,""060730093011"":4,""060730026011"":4,""060730157041"":4,""060650432202"":4,""060730170491"":4,""261059501001"":4,""060730078002"":4,""060133040031"":4,""060730083061"":4,""060730083513"":4,""060730085075"":4,""060730095053"":4,""060730083621"":4,""060730005001"":4,""060730082001"":4,""060730170352"":4,""060730215001"":4,""320030053372"":4,""060730200191"":4,""060730149012"":4,""060590423201"":4,""060730078001"":4,""060730079051"":4,""060730148052"":4,""060730141012"":4,""530530712064"":4,""060730155012"":4,""060730088001"":4,""060730083442"":4,""060730083123"":4,""060730134162"":4,""060730159011"":4,""060730083632"":4,""060014052001"":4,""060730081012"":4,""060375336032"":4,""060730120022"":4,""060730033032"":4,""060750126021"":4,""060730144001"":4,""060730083013"":4,""060730134093"":4,""060730083111"":4,""060730170211"":4,""060730123041"":4,""060730083071"":4,""060730135031"":4,""060730083643"":4,""060730093062"":4,""060730170431"":4,""060730031032"":4,""060730050001"":4,""060730100112"":4,""060730077012"":4,""060730131021"":4,""060730077024"":4,""060730119022"":4,""060730031071"":4,""060590421142"":4,""060730087021"":4,""060730101033"":4,""060730133101"":4,""060730085093"":4,""060730065001"":4,""060730083584"":4,""060730211003"":4,""060730031153"":4,""060730079034"":4,""060730092022"":4,""060730132061"":4,""060730085103"":4,""060730091063"":4,""060730032132"":4,""060310009004"":4,""060730083641"":4,""060510002009"":4,""060730083642"":4,""060730083511"":4,""060730083412"":4,""060730133102"":4,""060730083103"":4,""060730154041"":4,""060730166151"":4,""060377018013"":4,""060730168042"":4,""060730080023"":4,""060855125051"":4,""060730083532"":4,""060250110006"":4,""060730085053"":4,""060379102022"":4,""060730200223"":4,""060730085071"":4,""060730085132"":4,""060730167011"":4,""060730145002"":4,""060650427291"":4,""060730167024"":4,""060730070021"":4,""320030028461"":4,""060730014002"":4,""060730085074"":4,""060730170423"":4,""060730200143"":4,""060730095061"":4,""060730169012"":4,""060730083432"":4,""060730083371"":4,""060730093012"":4,""060730186131"":4,""060650428002"":4,""060730083401"":4,""060730091041"":4,""061070041012"":4,""040131040002"":4,""060730121021"":4,""060730083052"":4}","{""060730083391"":5,""060730085033"":5,""060730085025"":4,""060730085041"":4,""060730085043"":4,""060730085111"":4,""060730074006"":4,""060730085063"":4,""060730085031"":4,""060730079034"":4,""060730139081"":4,""060730085052"":4,""060730085011"":4}",LIMITED-SERVICE EATING PLACES,CLAIREMONT DR,"{'06073008502': 25, '06073008504': 22, '06073008501': 20, '06073008503': 18, '06073008505': 18, '06073008511': 16, '06073008506': 12, '06073009102': 11, '06073008512': 10, '06073009101': 10, '06073008510': 10, '06073009104': 9, '06073009509': 9, '06073008509': 9, '06073008340': 9, '06073010014': 8, '06073009201': 8, '06073008600': 8, '06073008307': 7, '06073008306': 7, '06073008800': 7, '06073008344': 7, '06073009103': 6, '06073009000': 6, '06073008507': 6, '06073011802': 6, '06073008345': 5, '06073008343': 5, '06073002100': 5, '06073007800': 5, '06073013314': 5, '06073008333': 5, '04019004065': 5, '06073015502': 5, '06073021400': 5, '06073008702': 5, '06073017015': 4, '06073008313': 4, '06073009506': 4, '26155031600': 4, '06073008354': 4, '06073008329': 4, '04013060902': 4, '06073017030': 4, '06073005400': 4, '06073013907': 4, '06073004000': 4, '06073009511': 4, '06073008701': 4, '06073003208': 4, '04021000313': 4, '06073002902': 4, '06025011801': 4, '06013321103': 4, '06073008339': 4, '06073019106': 4, '06073021303': 4, '06073007903': 4, '06073007702': 4, '06073019107': 4, '06073015601': 4, '06073002904': 4, '06037432101': 4, '06073016617': 4, '06073009502': 4, '06073000800': 4, '06073008002': 4, '06073009301': 4, '06073002601': 4, '06073015704': 4, '06065043220': 4, '06073017049': 4, '26105950100': 4, '06013304003': 4, '06073008351': 4, '06073009505': 4, '06073008362': 4, '06073000500': 4, '06073008200': 4, '06073017035': 4, '06073021500': 4, '32003005337': 4, '06073020019': 4, '06073014901': 4, '06059042320': 4, '06073007905': 4, '06073014805': 4, '06073014101': 4, '53053071206': 4, '06073015501': 4, '06073008312': 4, '06073013416': 4, '06073015901': 4, '06073008363': 4, '06001405200': 4, '06073008101': 4, '06037533603': 4, '06073012002': 4, '06073003303': 4, '06075012602': 4, '06073014400': 4, '06073008301': 4, '06073013409': 4, '06073008311': 4, '06073017021': 4, '06073012304': 4, '06073013503': 4, '06073008364': 4, '06073009306': 4, '06073017043': 4, '06073003103': 4, '06073005000': 4, '06073010011': 4, '06073007701': 4, '06073013102': 4, '06073011902': 4, '06073003107': 4, '06059042114': 4, '06073010103': 4, '06073013310': 4, '06073006500': 4, '06073008358': 4, '06073021100': 4, '06073003115': 4, '06073009202': 4, '06073013206': 4, '06073009106': 4, '06073003213': 4, '06031000900': 4, '06051000200': 4, '06073008341': 4, '06073008310': 4, '06073015404': 4, '06073016615': 4, '06037701801': 4, '06073016804': 4, '06085512505': 4, '06073008353': 4, '06025011000': 4, '06037910202': 4, '06073020022': 4, '06073008513': 4, '06073016701': 4, '06073014500': 4, '06065042729': 4, '06073016702': 4, '06073007002': 4, '32003002846': 4, '06073001400': 4, '06073017042': 4, '06073020014': 4, '06073016901': 4, '06073008337': 4, '06073018613': 4, '06065042800': 4, '06107004101': 4, '04013104000': 4, '06073012102': 4, '06073008305': 4}",1
CLK 2 JUICES LP,92093,60730083051,{},"{""060730083332"":4}",LIMITED-SERVICE RESTAURANTS,GILMAN DR,{},0
CLK 3 JUICE LP,92037,60730083621,"{""060730083412"":8,""060730083441"":5,""060730083332"":4,""060730083131"":4,""060730083551"":4,""060710018042"":4,""060730100093"":4,""060730085042"":4,""060730215001"":4,""060730083272"":4,""060730095041"":4,""060730083623"":4}","{""060710022041"":5,""060730054001"":4,""060730100142"":4,""060730100102"":4,""060730153022"":4,""060730091033"":4,""060730087022"":4,""060730010001"":4}",LIMITED-SERVICE EATING PLACES,VILLA LA JOLLA DR,"{'06073008341': 8, '06073008344': 5, '06073008333': 4, '06073008313': 4, '06073008355': 4, '06071001804': 4, '06073010009': 4, '06073008504': 4, '06073021500': 4, '06073008327': 4, '06073009504': 4, '06073008362': 4}",0.91904239
CLK 4 JUICE LP,92130,60730083291,"{""060730083281"":15,""060730083331"":9,""060730170201"":8,""060730095041"":5,""060730083311"":4,""060730173061"":4,""060730083291"":4,""060730083301"":4,""060730083272"":4,""060730137012"":4,""060730170291"":4,""060730215001"":4,""060730083661"":4,""060730083332"":4,""060730085045"":4}","{""060730083281"":11,""060730083331"":8,""060730083291"":6,""060730215001"":5,""060730200271"":5,""060730201031"":4,""060730083302"":4,""060730095041"":4,""060730083301"":4,""060730170291"":4,""060650432462"":4,""060730199032"":4,""060730215002"":4,""060730083272"":4,""060730171102"":4,""060730170392"":4,""300530004002"":4,""060730171071"":4,""060730083242"":4,""060730083332"":4}",LIMITED-SERVICE EATING PLACES,DEL MAR HEIGHTS RD,"{'06073008328': 15, '06073008333': 9, '06073017020': 8, '06073009504': 5, '06073008331': 4, '06073017306': 4, '06073008329': 4, '06073008330': 4, '06073008327': 4, '06073013701': 4, '06073017029': 4, '06073021500': 4, '06073008366': 4, '06073008504': 4}",0.928957518
CLK 5 JUICE LP,92115,60730027034,"{""060730027034"":33,""060730029022"":20,""060730143001"":20,""060730034014"":19,""060730142001"":18,""060730029031"":18,""060730145002"":17,""060730144001"":17,""060730141011"":17,""060730027111"":16,""060730030041"":16,""060730027052"":16,""060730029041"":14,""060730027102"":14,""060730031071"":14,""060730147003"":14,""060730030032"":14,""060730030031"":13,""060730030042"":13,""060730141021"":13,""060730034041"":13,""060730144002"":13,""060730027051"":12,""060730031131"":12,""060730031081"":12,""060730027112"":11,""060730029033"":11,""060730025021"":11,""060730142003"":11,""060730031122"":11,""060730031033"":10,""060730031032"":10,""060730027032"":10,""060730027023"":10,""060730146023"":10,""060730028041"":10,""060730030013"":10,""060730139082"":10,""060730135031"":10,""060730031031"":10,""060730027123"":10,""060730034011"":9,""060730032072"":9,""060730030011"":9,""060730029021"":9,""060730145001"":9,""060730026012"":9,""060730137021"":9,""060730027084"":8,""060730033053"":8,""060730141012"":8,""060730139061"":8,""060730026011"":8,""060730031121"":8,""060730213032"":8,""060730031111"":8,""060730024011"":7,""060730133141"":7,""060730029032"":7,""060730027121"":7,""060730027122"":7,""060730135032"":7,""060730040004"":7,""060730028034"":7,""060730027031"":7,""060730031052"":7,""060730031142"":7,""060730035022"":7,""060730213022"":7,""060730150002"":7,""060730041004"":6,""060730139072"":6,""060730034032"":6,""060730139052"":6,""060730027101"":6,""060730145003"":6,""060730006002"":6,""060730140014"":6,""060730034031"":6,""060730032073"":6,""060730139092"":6,""060730034042"":6,""060730122002"":6,""060730140012"":6,""060730147002"":6,""060730139051"":6,""060730133131"":6,""060730028042"":5,""060730022023"":5,""060730026022"":5,""060730138013"":5,""060730136063"":5,""060730027083"":5,""060730110001"":5,""060730083573"":5,""060730158023"":5,""060730140013"":5,""060730135061"":5,""060730162021"":5,""060730056002"":5,""040190046451"":5,""060730033012"":5,""060730027091"":5,""060730031012"":5,""060730033051"":5,""060730049001"":5,""060730135042"":5,""060730036021"":5,""060730023022"":5,""060730029043"":5,""060730138021"":5,""060730134191"":5,""060730213041"":5,""060730028012"":5,""060730157042"":5,""060730124012"":5,""060730074004"":5,""060730030033"":5,""060730100031"":4,""060730095112"":4,""060730033052"":4,""060730032085"":4,""060730024022"":4,""060730156011"":4,""060730168042"":4,""060730136012"":4,""060730032143"":4,""060730087012"":4,""060372118032"":4,""060730035023"":4,""360050127011"":4,""060730192053"":4,""121090209021"":4,""480291720071"":4,""060730138011"":4,""060730134091"":4,""060730135043"":4,""060730154061"":4,""060730123042"":4,""060730033042"":4,""060730154043"":4,""060730134101"":4,""180330204005"":4,""060730083273"":4,""350010047333"":4,""060730191052"":4,""060730017004"":4,""060730093041"":4,""060730162013"":4,""060730142002"":4,""060710045072"":4,""060730032093"":4,""040138171003"":4,""060730168021"":4,""060730133101"":4,""060730146022"":4,""060310009006"":4,""060730034013"":4,""060730099021"":4,""060730100121"":4,""060730032091"":4,""060730046001"":4,""060730141022"":4,""060730128001"":4,""060730137023"":4,""060730120031"":4,""060730134211"":4,""060730211001"":4,""060730032131"":4,""060730031112"":4,""060730094001"":4,""060730026023"":4,""060730032081"":4,""060730022022"":4,""060730168043"":4,""060730036022"":4,""060730213042"":4,""060730169021"":4,""060730163023"":4,""060730178113"":4,""060730032042"":4,""060730096021"":4,""060730031011"":4,""060730085043"":4,""060730093052"":4,""060190055101"":4,""060371081031"":4,""060730048003"":4,""060730028031"":4,""390339741001"":4,""060730220001"":4,""060730085023"":4,""060730031013"":4,""060730095111"":4,""060730031153"":4,""160010022242"":4,""060730212043"":4,""060378003301"":4,""060730133082"":4,""060730100142"":4,""060730032041"":4,""060730119024"":4,""060730154041"":4,""060730117001"":4,""060730189031"":4,""060730022021"":4,""060730085051"":4,""060730202101"":4,""060730035021"":4,""060730161001"":4,""060730027081"":4,""060730164012"":4,""060730146012"":4,""060730023021"":4,""060730101033"":4,""060730135041"":4,""060730139091"":4,""060730032022"":4,""060730027033"":4,""060730123031"":4,""060730159024"":4,""471630409001"":4,""060730082001"":4,""060730211003"":4,""060730149012"":4,""060730033032"":4,""060730139062"":4,""060730038001"":4,""060730149022"":4,""060730096043"":4,""060730006003"":4,""060730027072"":4,""060730140011"":4,""060730118023"":4,""060730136062"":4,""060730148061"":4,""060730032141"":4,""060730138022"":4,""060730140022"":4,""060730136061"":4,""060730039024"":4,""060730059003"":4,""060730078002"":4,""060730143002"":4,""060730029042"":4,""060730032082"":4,""060730170431"":4,""060730137022"":4,""060730041003"":4,""060730023012"":4,""471570201021"":4,""060730023023"":4,""280470031011"":4,""060730026021"":4,""060730026013"":4,""060730030012"":4,""060730035011"":4,""401139400091"":4,""060730135052"":4,""060730041002"":4,""060730028043"":4,""060730187001"":4,""060730113001"":4,""060730134102"":4,""060730169014"":4,""060730027073"":4,""060730027022"":4,""060730167011"":4,""060730029052"":4,""060730032083"":4,""060730133012"":4,""060730027021"":4,""060730135033"":4,""060730034012"":4,""060730027092"":4,""060730136051"":4,""060730137011"":4,""060730142004"":4,""060730022012"":4,""060730022011"":4,""060730139071"":4,""040190040661"":4,""060730020021"":4,""060730140021"":4,""060730166052"":4,""060730204032"":4,""060730085111"":4,""060730031113"":4,""060730029051"":4,""450910609041"":4,""060730182001"":4,""060730146011"":4,""060730049003"":4,""060730083552"":4,""060730032112"":4,""060730031072"":4,""060730031141"":4,""060730012004"":4,""060730166091"":4,""291892177011"":4,""060730170181"":4,""060730139031"":4,""484391139064"":4,""060730025023"":4}","{""060730027034"":33,""060730029022"":21,""060730142001"":18,""060730144001"":17,""060730143001"":17,""060730145002"":16,""060730029031"":16,""060730030042"":14,""060730085111"":14,""060730029041"":14,""060730027051"":13,""060730144002"":13,""060730141011"":12,""060730034041"":12,""060730034014"":12,""060730030041"":12,""060730027102"":11,""060730031081"":11,""060730028041"":11,""060730031071"":11,""060730187001"":11,""060730034032"":11,""060730147003"":10,""060730141021"":10,""060730031033"":9,""060730029033"":9,""060730022023"":9,""060730027032"":9,""060730030032"":9,""060730031121"":9,""060730030013"":9,""060730027052"":9,""060730030031"":9,""060730031072"":9,""060730029032"":9,""060730031131"":9,""060730137021"":9,""060730139061"":9,""060730027023"":9,""060730135032"":8,""060730028034"":8,""060730025021"":8,""060730026011"":8,""060730031032"":8,""060730027112"":7,""060730034011"":7,""060730140012"":7,""060730027122"":7,""060730034031"":7,""060730100142"":7,""060730022011"":7,""060730146023"":7,""060730027123"":7,""060730029021"":7,""060730040004"":7,""060730140014"":7,""060730026012"":7,""060730031122"":7,""060730145001"":6,""060730083502"":6,""060730027101"":6,""060730101031"":6,""060730133131"":6,""060730138013"":6,""060730023022"":6,""060730027092"":6,""060730162021"":6,""060730034042"":6,""060730027111"":6,""060730170492"":6,""060730028033"":6,""060730083501"":6,""060730142003"":6,""060730031142"":6,""060730027084"":6,""060730133141"":6,""060730212021"":6,""060730139072"":6,""060730135031"":6,""060730139062"":5,""060730031052"":5,""060730034013"":5,""060730139082"":5,""060730100151"":5,""060730030011"":5,""060730030012"":5,""060730027121"":5,""060730027081"":5,""060730034033"":5,""060730027073"":5,""060730213032"":5,""060730027083"":5,""060730031012"":5,""060730213022"":5,""060730147002"":5,""060730025022"":5,""060730031051"":5,""060730148052"":5,""060730026022"":5,""060730141022"":5,""060670085091"":5,""060730146022"":5,""060730024011"":5,""060730133101"":4,""060730095111"":4,""060730065001"":4,""060730041002"":4,""060730167024"":4,""060730023023"":4,""060730219001"":4,""060730169021"":4,""060730163023"":4,""060730096021"":4,""060730032091"":4,""530530724084"":4,""060730096034"":4,""060730029042"":4,""060730009006"":4,""060730008004"":4,""060730100031"":4,""060730151002"":4,""471570201021"":4,""060730042004"":4,""060133451021"":4,""060730098024"":4,""060730139052"":4,""060730017004"":4,""060730099021"":4,""060730031132"":4,""060730078002"":4,""060730143002"":4,""060730032093"":4,""060730168043"":4,""060730191052"":4,""060730032085"":4,""060730213041"":4,""320030032432"":4,""060730026021"":4,""060730134093"":4,""060730166071"":4,""060730029043"":4,""060730040003"":4,""530350814001"":4,""060730091012"":4,""060730083373"":4,""060730027072"":4,""060730030033"":4,""060730032143"":4,""060730087012"":4,""060730035022"":4,""060730202071"":4,""060730031112"":4,""060730083052"":4,""060730049003"":4,""060730100112"":4,""060730027091"":4,""060730170226"":4,""060730031152"":4,""060730138012"":4,""060730168072"":4,""060730148033"":4,""060730139051"":4,""060730031011"":4,""060730083293"":4,""060190045041"":4,""060730079102"":4,""060730163021"":4,""060730027031"":4,""060730140021"":4,""060730110001"":4,""060730154061"":4,""060730146012"":4,""060730135033"":4,""060730027021"":4,""060730096033"":4,""130670302143"":4,""060730147001"":4,""060730119024"":4,""060730031111"":4,""060730170451"":4,""060730133093"":4,""060730087021"":4,""320030058031"":4,""060730028012"":4,""060730214001"":4,""060730036021"":4,""060730083461"":4,""060730051002"":4,""060730032131"":4,""060730045011"":4,""060190012011"":4,""060730148051"":4,""060730135042"":4,""060730016001"":4,""060730136063"":4,""060730085073"":4,""060730031153"":4,""060730028043"":4,""350010037303"":4,""060730166091"":4,""060730011003"":4,""060730076003"":4,""060730094001"":4,""060379200132"":4,""060730139092"":4,""060730082001"":4,""060730091061"":4,""060590423121"":4,""060730134101"":4,""060730053003"":4,""060730035023"":4,""060730136061"":4,""060730162013"":4,""060730141012"":4,""060730142002"":4,""060730170224"":4,""060730039012"":4,""060730145003"":4,""060730033012"":4,""060730022021"":4,""060730135052"":4,""060730136013"":4,""060730031151"":4,""060730118023"":4,""060730136062"":4,""060730021003"":4,""060730085091"":4,""060730031082"":4,""060730134202"":4,""060730029051"":4,""060730133102"":4,""060730140013"":4,""060376514023"":4,""060730170141"":4,""060730213031"":4,""060730131022"":4,""060730036032"":4,""060730040002"":4,""060730161003"":4,""060730161001"":4,""060730036011"":4,""060730042001"":4,""060730033011"":4,""060650503003"":4,""060730113001"":4,""060730134121"":4,""060730031113"":4,""060730122002"":4,""060730093052"":4,""060730029052"":4,""060730031031"":4,""060650432505"":4,""060730027071"":4,""060730154043"":4,""060730167012"":4,""060730133082"":4,""060730009004"":4,""060730085025"":4,""060730140022"":4,""060730138022"":4,""060730168062"":4,""060730168074"":4,""060730083121"":4,""060730093041"":4,""060730079032"":4,""060730090002"":4,""060730121021"":4,""060730138011"":4,""060730138021"":4,""060730134191"":4,""060730139071"":4,""040190040661"":4,""060730133012"":4,""060730033053"":4,""060730136052"":4,""060710063011"":4,""060730180001"":4,""060730150002"":4,""060730147004"":4,""060730148042"":4,""060730033051"":4,""060730032072"":4,""060730146011"":4,""420990305014"":4,""060730124023"":4,""060730128003"":4,""060730027033"":4,""060730006003"":4,""060730139031"":4,""060730220001"":4,""060730031073"":4,""060730083051"":4,""060730026023"":4,""060730139032"":4,""060730046001"":4,""060730130001"":4,""517600109001"":4,""060730170431"":4,""060730149012"":4,""360010140022"":4,""060730212043"":4,""060378003301"":4,""060730095112"":4,""060730135041"":4,""481576721001"":4,""060730154053"":4,""060730133072"":4,""060730098052"":4,""060730035011"":4,""060730039021"":4,""060730028042"":4,""060730118011"":4,""060379800181"":4,""060730157013"":4,""060730074005"":4,""060730056002"":4,""060730101105"":4,""060730035013"":4,""060730027022"":4,""060730038001"":4,""060730085043"":4,""060730022012"":4,""060710045072"":4,""320030036281"":4,""060730031013"":4}",LIMITED-SERVICE EATING PLACES,COLLEGE GROVE WAY,"{'06073002703': 33, '06073002902': 20, '06073014300': 20, '06073003401': 19, '06073014200': 18, '06073002903': 18, '06073014500': 17, '06073014400': 17, '06073014101': 17, '06073002711': 16, '06073003004': 16, '06073002705': 16, '06073002904': 14, '06073002710': 14, '06073003107': 14, '06073014700': 14, '06073003003': 14, '06073014102': 13, '06073003404': 13, '06073003113': 12, '06073003108': 12, '06073002502': 11, '06073003112': 11, '06073003103': 10, '06073002702': 10, '06073014602': 10, '06073002804': 10, '06073003001': 10, '06073013908': 10, '06073013503': 10, '06073002712': 10, '06073003207': 9, '06073002601': 9, '06073013702': 9, '06073002708': 8, '06073003305': 8, '06073013906': 8, '06073021303': 8, '06073003111': 8, '06073002401': 7, '06073013314': 7, '06073004000': 7, '06073002803': 7, '06073003105': 7, '06073003114': 7, '06073003502': 7, '06073021302': 7, '06073015000': 7, '06073004100': 6, '06073013907': 6, '06073003403': 6, '06073013905': 6, '06073000600': 6, '06073014001': 6, '06073013909': 6, '06073012200': 6, '06073013313': 6, '06073002202': 5, '06073002602': 5, '06073013801': 5, '06073013606': 5, '06073011000': 5, '06073008357': 5, '06073015802': 5, '06073013506': 5, '06073016202': 5, '06073005600': 5, '04019004645': 5, '06073003301': 5, '06073002709': 5, '06073003101': 5, '06073004900': 5, '06073013504': 5, '06073003602': 5, '06073002302': 5, '06073013802': 5, '06073013419': 5, '06073021304': 5, '06073002801': 5, '06073015704': 5, '06073012401': 5, '06073007400': 5, '06073010003': 4, '06073009511': 4, '06073003208': 4, '06073002402': 4, '06073015601': 4, '06073016804': 4, '06073013601': 4, '06073003214': 4, '06073008701': 4, '06037211803': 4, '36005012701': 4, '06073019205': 4, '12109020902': 4, '48029172007': 4, '06073013409': 4, '06073015406': 4, '06073012304': 4, '06073003304': 4, '06073015404': 4, '06073013410': 4, '18033020400': 4, '06073008327': 4, '35001004733': 4, '06073019105': 4, '06073001700': 4, '06073009304': 4, '06073016201': 4, '06071004507': 4, '06073003209': 4, '04013817100': 4, '06073016802': 4, '06073013310': 4, '06031000900': 4, '06073009902': 4, '06073010012': 4, '06073004600': 4, '06073012800': 4, '06073012003': 4, '06073013421': 4, '06073021100': 4, '06073003213': 4, '06073009400': 4, '06073016902': 4, '06073016302': 4, '06073017811': 4, '06073003204': 4, '06073009602': 4, '06073008504': 4, '06073009305': 4, '06019005510': 4, '06037108103': 4, '06073004800': 4, '39033974100': 4, '06073022000': 4, '06073008502': 4, '06073003115': 4, '16001002224': 4, '06073021204': 4, '06037800330': 4, '06073013308': 4, '06073010014': 4, '06073011902': 4, '06073011700': 4, '06073018903': 4, '06073008505': 4, '06073020210': 4, '06073016100': 4, '06073016401': 4, '06073014601': 4, '06073010103': 4, '06073003202': 4, '06073012303': 4, '06073015902': 4, '47163040900': 4, '06073008200': 4, '06073014901': 4, '06073003303': 4, '06073003800': 4, '06073014902': 4, '06073009604': 4, '06073002707': 4, '06073011802': 4, '06073014806': 4, '06073014002': 4, '06073003902': 4, '06073005900': 4, '06073007800': 4, '06073017043': 4, '06073002301': 4, '47157020102': 4, '28047003101': 4, '06073003501': 4, '40113940009': 4, '06073013505': 4, '06073018700': 4, '06073011300': 4, '06073016901': 4, '06073016701': 4, '06073002905': 4, '06073013301': 4, '06073013605': 4, '06073013701': 4, '06073002201': 4, '04019004066': 4, '06073002002': 4, '06073016605': 4, '06073020403': 4, '06073008511': 4, '45091060904': 4, '06073018200': 4, '06073008355': 4, '06073003211': 4, '06073001200': 4, '06073016609': 4, '29189217701': 4, '06073017018': 4, '06073013903': 4, '48439113906': 4}",1
CLOSENESS,92123,60730085111,{},{},INDIVIDUAL & FAMILY SERVICES,MURPHY CANYON RD,{},0
CLOTH COUTURE,92101,60730052001,"{""060730099021"":4,""060730027034"":4,""060670051012"":4,""060730056002"":4,""060730052001"":4}","{""060730127001"":4,""060730133131"":4,""530530609051"":4,""060650432402"":4,""060730032111"":4}",CLOTHING STORES,BROADWAY nan,"{'06073009902': 4, '06073002703': 4, '06067005101': 4, '06073005600': 4, '06073005200': 4}",0.78551477
